Label,CH6_mag,CH7_mag,CH8_mag,CH9_mag,CH10_mag,CH11_mag,CH12_mag,CH13_mag,CH14_mag,CH15_mag,CH16_mag,CH17_mag,CH18_mag,CH19_mag,CH20_mag,CH21_mag,CH22_mag,CH23_mag,CH24_mag,CH25_mag,CH26_mag,CH27_mag,CH28_mag,CH29_mag,CH30_mag,CH31_mag,CH32_mag,CH33_mag,CH34_mag,CH35_mag,CH36_mag,CH37_mag,CH38_mag,CH39_mag,CH40_mag,CH41_mag,CH42_mag,CH43_mag,CH44_mag,CH45_mag,CH46_mag,CH47_mag,CH48_mag,CH49_mag,CH50_mag,CH51_mag,CH52_mag,CH53_mag,CH54_mag,CH55_mag,CH56_mag,CH57_mag,CH58_mag,CH6_phase,CH7_phase,CH8_phase,CH9_phase,CH10_phase,CH11_phase,CH12_phase,CH13_phase,CH14_phase,CH15_phase,CH16_phase,CH17_phase,CH18_phase,CH19_phase,CH20_phase,CH21_phase,CH22_phase,CH23_phase,CH24_phase,CH25_phase,CH26_phase,CH27_phase,CH28_phase,CH29_phase,CH30_phase,CH31_phase,CH32_phase,CH33_phase,CH34_phase,CH35_phase,CH36_phase,CH37_phase,CH38_phase,CH39_phase,CH40_phase,CH41_phase,CH42_phase,CH43_phase,CH44_phase,CH45_phase,CH46_phase,CH47_phase,CH48_phase,CH49_phase,CH50_phase,CH51_phase,CH52_phase,CH53_phase,CH54_phase,CH55_phase,CH56_phase,CH57_phase,CH58_phase
0,20.125,18.385,20.125,21.541,19.313,18.974,18.682,17.464,19.416,17.464,19.416,19.647,18.439,18.439,17.117,18.439,17.263,16.125,17.263,16.125,15.033,17.263,15.033,16.492,18.439,15.524,0,15.297,14.56,15.811,14.318,14.56,14.56,14.318,13.601,14.56,13.892,14.765,13,13.416,14.318,12.53,13.038,15.264,12.207,13.038,12.042,12.53,11.662,12.207,11.314,12.207,10.63,2.034,1.961,2.034,1.951,1.942,1.893,1.842,1.802,1.778,1.802,1.778,1.828,1.789,1.789,1.688,1.789,1.745,1.695,1.745,1.695,1.637,1.745,1.637,1.816,1.789,1.831,0,1.768,1.849,1.893,2.003,1.849,1.849,1.782,1.869,1.849,2.099,2.065,1.966,2.034,2.003,2.07,2.138,2.122,2.182,2.138,2.297,2.07,2.111,2.182,2.356,2.182,2.29
0,14.56,13.038,16.125,15.297,18.111,17,15.033,14.036,15,14,15,16.125,15.033,14.142,14.56,15.033,14.036,15.033,13.038,14.142,13.153,14.142,12.166,13.038,14.142,13.038,0,13.038,12,12,12.042,12,12.042,12.042,11.045,11.18,10.44,12.649,10.44,11.045,9.487,10.198,12.083,11.402,9.849,8.544,9.849,10.44,10.77,9.487,10.296,9.487,8.062,0.278,0.077,0.124,0.197,0.111,0,-0.067,-0.071,0,0,0,-0.124,-0.067,-0.142,-0.278,-0.067,-0.071,-0.067,-0.077,-0.142,-0.153,-0.142,-0.165,-0.077,-0.142,-0.077,0,-0.077,0,0,0.083,0,0.083,0.083,0.091,0.18,0.291,0.322,0.291,0.091,0.322,0.197,0.427,0.266,0.418,0.359,0.418,0.291,0.381,0.322,0.507,0.322,0.519
0,12.728,14.213,14.213,12.728,14.213,13.454,14.422,12.207,13.038,12.53,13.892,13.892,13.892,13.038,12.53,13.892,11.18,11.662,11.18,11.18,10.77,11.662,11.402,11.18,13,11.662,0,11.662,10.296,11.662,10,9.849,10.296,10.296,8.602,9.434,8.602,9.899,8.062,8.602,10,9.22,7.81,10.63,9.22,9.22,8.485,9.22,8.485,8.485,7.81,8.485,7.81,-0.785,-0.885,-0.686,-0.785,-0.885,-0.838,-0.983,-0.96,-1.004,-1.071,-1.043,-1.043,-1.043,-1.004,-1.071,-1.043,-1.107,-1.03,-1.107,-1.107,-1.19,-1.03,-1.305,-1.107,-1.176,-1.03,0,-1.03,-1.064,-1.03,-0.927,-1.153,-1.064,-1.064,-0.951,-1.012,-0.951,-0.785,-1.052,-0.951,-0.927,-0.862,-0.695,-0.852,-0.709,-0.709,-0.785,-0.862,-0.785,-0.785,-0.695,-0.785,-0.695
0,23.022,23,24,24.331,21.378,20.224,22.204,20.396,21.378,20.396,21.587,23.537,21.587,22.561,19.925,22.361,20.616,20.616,19.416,18.682,18.974,19.416,18.028,18.439,20.396,17.464,0,18.248,17.029,18.111,16,17.263,17.117,17.117,16,17,15.133,17.117,15,15.033,14.142,16.279,14.56,17.263,14.866,15.297,13.601,15.297,12.649,14.318,13.928,13.601,13.601,1.527,1.571,1.571,1.406,1.383,1.422,1.435,1.373,1.383,1.373,1.337,1.357,1.337,1.347,1.265,1.391,1.326,1.326,1.363,1.3,1.249,1.363,1.232,1.352,1.373,1.34,0,1.406,1.512,1.46,1.571,1.396,1.454,1.454,1.571,1.571,1.703,1.688,1.571,1.637,1.713,1.756,1.849,1.745,1.914,1.768,1.869,1.768,1.893,1.782,1.938,1.869,1.869
0,18.682,18.682,19.647,20.616,19.416,17.117,19.105,16.125,18.111,17.029,19,19,19,19,17.029,19,16,17.029,15.033,16.031,15.033,17.029,14.036,16.031,17.029,16.031,0,15.033,15.133,15.297,15.297,15.033,15.133,14.318,13.342,13.342,11.705,13.342,12.369,13.153,11.705,13.928,13,14.866,13.416,12.53,11.402,12.083,11.662,12.53,11.662,12.083,11.18,1.842,1.842,1.828,1.816,1.778,1.688,1.676,1.695,1.681,1.63,1.571,1.571,1.571,1.571,1.512,1.571,1.571,1.63,1.637,1.633,1.504,1.63,1.499,1.508,1.512,1.633,0,1.637,1.703,1.768,1.768,1.637,1.703,1.782,1.798,1.798,1.92,1.798,1.816,1.723,1.92,1.938,1.966,1.914,2.034,2.07,2.232,1.997,2.111,2.07,2.111,1.997,2.034
0,22.472,20.248,23.022,22.472,21.095,19.105,21.26,19.849,19.799,19.105,20.518,20.518,19.105,19.849,18.439,21.213,17.692,17.029,17.804,17.804,17.205,18.439,15.811,16.279,18.439,17.692,0,16.971,17.205,16.279,16.401,15.556,14.866,16.279,14.866,15,13.892,15.652,14.422,15.264,13.892,15.264,14.765,16.553,13.928,14.318,12.083,13.416,13.416,13.928,12.649,13,12.649,2.578,2.567,2.542,2.578,2.593,2.393,2.423,2.285,2.356,2.319,2.322,2.322,2.319,2.285,2.279,2.356,2.316,2.273,2.237,2.237,2.191,2.279,2.176,2.313,2.279,2.316,0,2.356,2.521,2.4,2.486,2.356,2.404,2.4,2.404,2.498,2.614,2.678,2.554,2.59,2.614,2.59,2.648,2.705,2.774,2.709,2.715,2.678,2.678,2.774,2.82,2.747,2.82
0,21.633,20.809,20.809,23.431,21.932,19.105,21.26,17.804,20.518,19.105,21.26,21.26,20.518,20.616,18.601,20.518,17.692,17.804,17.692,18.601,16.643,17.804,16.643,16.401,19.209,17.029,0,16.279,16.279,15.556,16.279,15.556,15.556,15.556,14.142,15.62,14.422,15.264,14.213,14.213,14.422,14.765,13.892,16.125,13.928,13.416,12.53,13.601,13.892,13.416,13.342,13,12.369,-0.588,-0.615,-0.615,-0.695,-0.753,-0.748,-0.852,-0.905,-0.82,-0.822,-0.852,-0.852,-0.82,-0.888,-0.938,-0.82,-0.825,-0.905,-0.825,-0.938,-0.999,-0.905,-0.999,-0.915,-0.896,-0.869,0,-0.829,-0.742,-0.785,-0.742,-0.785,-0.785,-0.785,-0.785,-0.695,-0.588,-0.552,-0.686,-0.686,-0.588,-0.494,-0.528,-0.519,-0.367,-0.464,-0.499,-0.629,-0.528,-0.464,-0.227,-0.395,-0.245
0,21.587,20.616,21.587,22.136,20.248,19.313,20.125,18.788,19.235,18.788,20.125,20.125,19.235,19.235,18.868,18.788,17.493,17.493,17,16.643,16.401,17.493,15.264,16.125,17.889,16.125,0,17,16.155,16.155,14.866,14.318,16.155,16.155,14.866,15.524,13.601,15.297,13.601,14.142,13.153,14.318,13.153,15.133,13.038,14.142,13.038,13.342,14.142,14.036,12.042,13.038,12,-1.805,-1.816,-1.805,-1.893,-1.924,-1.942,-2.034,-2.011,-2.058,-2.011,-2.034,-2.034,-2.058,-2.058,-2.129,-2.011,-2.111,-2.111,-2.061,-2.142,-2.226,-2.111,-2.122,-2.09,-2.034,-2.09,0,-2.061,-1.951,-1.951,-1.914,-2.003,-1.951,-1.951,-1.914,-1.831,-1.869,-1.768,-1.869,-1.713,-1.723,-1.782,-1.723,-1.703,-1.648,-1.713,-1.648,-1.798,-1.713,-1.642,-1.488,-1.648,-1.571
0,22.023,20.518,20.518,22.627,20.518,18.439,19.416,18.601,19.209,19.209,20,20.809,19.209,18.868,18.028,18.601,18.028,16.643,15.811,16.125,16.125,18.868,16.125,15.811,17.205,16.401,0,16.401,15.62,15.62,15.556,15,15.62,16.279,14.142,15.556,14.213,15,14.213,14.866,12.806,15,13.038,15.811,13.892,13.416,12.53,13.601,13.038,13.038,13,13.038,12.083,-2.26,-2.322,-2.322,-2.356,-2.391,-2.433,-2.539,-2.509,-2.467,-2.467,-2.498,-2.527,-2.467,-2.583,-2.554,-2.509,-2.554,-2.57,-2.536,-2.622,-2.622,-2.583,-2.622,-2.536,-2.521,-2.486,0,-2.486,-2.447,-2.447,-2.356,-2.498,-2.447,-2.4,-2.356,-2.356,-2.257,-2.214,-2.257,-2.309,-2.246,-2.214,-2.138,-2.176,-2.099,-2.034,-2.07,-2.2,-2.138,-2.138,-1.966,-2.138,-1.997
0,20.518,19.799,21.26,21.932,19.799,19.209,20,18.601,20.248,18.601,19.723,20.248,19.416,19.416,17,20,18.868,17.493,16.643,16.125,16.125,16.125,15.652,16.125,17.493,15.811,0,16.643,16.401,15.62,15.62,14.422,15.62,15.62,14.866,16.279,13.454,14.866,12.728,14.142,13.454,14.866,13.454,15,13.601,12.806,11.662,12.806,12.207,13.601,13.416,13.601,12.207,-2.322,-2.356,-2.29,-2.324,-2.356,-2.467,-2.498,-2.509,-2.567,-2.509,-2.61,-2.567,-2.539,-2.539,-2.652,-2.498,-2.583,-2.601,-2.57,-2.622,-2.622,-2.622,-2.678,-2.622,-2.601,-2.536,0,-2.57,-2.486,-2.447,-2.447,-2.554,-2.447,-2.447,-2.404,-2.4,-2.304,-2.309,-2.356,-2.356,-2.304,-2.404,-2.304,-2.214,-2.2,-2.246,-2.111,-2.246,-2.182,-2.2,-2.034,-2.2,-2.182
