Label,CH6_mag,CH7_mag,CH8_mag,CH9_mag,CH10_mag,CH11_mag,CH12_mag,CH13_mag,CH14_mag,CH15_mag,CH16_mag,CH17_mag,CH18_mag,CH19_mag,CH20_mag,CH21_mag,CH22_mag,CH23_mag,CH24_mag,CH25_mag,CH26_mag,CH27_mag,CH28_mag,CH29_mag,CH30_mag,CH31_mag,CH32_mag,CH33_mag,CH34_mag,CH35_mag,CH36_mag,CH37_mag,CH38_mag,CH39_mag,CH40_mag,CH41_mag,CH42_mag,CH43_mag,CH44_mag,CH45_mag,CH46_mag,CH47_mag,CH48_mag,CH49_mag,CH50_mag,CH51_mag,CH52_mag,CH53_mag,CH54_mag,CH55_mag,CH56_mag,CH57_mag,CH58_mag,CH6_phase,CH7_phase,CH8_phase,CH9_phase,CH10_phase,CH11_phase,CH12_phase,CH13_phase,CH14_phase,CH15_phase,CH16_phase,CH17_phase,CH18_phase,CH19_phase,CH20_phase,CH21_phase,CH22_phase,CH23_phase,CH24_phase,CH25_phase,CH26_phase,CH27_phase,CH28_phase,CH29_phase,CH30_phase,CH31_phase,CH32_phase,CH33_phase,CH34_phase,CH35_phase,CH36_phase,CH37_phase,CH38_phase,CH39_phase,CH40_phase,CH41_phase,CH42_phase,CH43_phase,CH44_phase,CH45_phase,CH46_phase,CH47_phase,CH48_phase,CH49_phase,CH50_phase,CH51_phase,CH52_phase,CH53_phase,CH54_phase,CH55_phase,CH56_phase,CH57_phase,CH58_phase
0,34.059,34.015,33.242,36.497,33.541,30.414,30.594,29.614,31.321,28.636,28.636,30.414,28.284,26.926,25.71,27.203,24.042,23.77,20.881,21.84,21.84,22.804,20.616,21.095,20.224,19.105,0,18.248,17.263,14.036,16.031,15,16.031,15.033,13,13.342,13.601,14.318,13,13,15.232,13.416,10.296,13.928,11.662,13.416,10.77,13,9.487,10,10.63,7.81,12.042,1.512,1.541,1.45,1.406,1.391,1.406,1.373,1.367,1.279,1.36,1.36,1.406,1.429,1.308,1.335,1.272,1.275,1.316,1.279,1.292,1.292,1.305,1.326,1.476,1.422,1.466,0,1.406,1.396,1.499,1.508,1.571,1.508,1.637,1.571,1.798,1.869,1.782,1.966,1.966,1.976,2.034,2.078,1.938,2.111,2.034,1.951,1.966,1.893,2.214,2.29,2.266,2.297
0,36.359,36.715,36.359,36.401,30,34.409,34.205,32.65,29.732,27.019,31.241,31.401,30.61,26.87,26.249,27.659,26.401,23.345,24.759,23.431,24.207,23.431,20.616,22.204,21.095,20.809,0,20.591,17.804,18.868,18.788,18.868,17,15.232,14.422,15.297,14.318,12.369,16.279,15.297,15.033,14.318,12.166,15.033,11,12.042,13,11.045,11.18,13,11.045,11.705,12.369,-0.55,-0.512,-0.55,-0.649,-0.644,-0.62,-0.661,-0.699,-0.738,-0.681,-0.695,-0.65,-0.67,-0.785,-0.704,-0.709,-0.651,-0.816,-0.757,-0.695,-0.668,-0.695,-0.682,-0.625,-0.549,-0.615,0,-0.507,-0.666,-0.559,-0.44,-0.559,-0.49,-0.405,-0.588,-0.197,-0.211,-0.245,-0.185,-0.197,-0.067,-0.211,-0.165,-0.067,0,0.083,0,0.091,0.18,0,0.091,0.349,0.245
0,31.623,29.833,31.241,31.828,27.586,29.732,29.069,26.907,26.173,26.173,26.907,25,24.839,24.759,24.839,21.932,22.672,22.627,20.518,19.209,19.799,20.616,18.439,17.692,19.849,17.804,0,15.264,17.205,17.205,15.264,15.652,14.765,15.232,13.928,13,11.705,12.649,13.342,14.036,13,11.402,11.402,11,9.055,11,10,10.05,8.062,10.05,10.77,10.05,11.045,2.536,2.451,2.447,2.378,2.382,2.404,2.283,2.304,2.329,2.329,2.304,2.214,2.271,2.328,2.271,2.324,2.294,2.356,2.391,2.246,2.356,2.459,2.279,2.396,2.428,2.476,0,2.59,2.521,2.521,2.59,2.678,2.648,2.737,2.774,2.747,2.793,2.82,2.915,3.07,3.142,2.875,2.875,3.142,-3.031,3.142,3.142,-3.042,3.017,-3.042,-2.761,-3.042,-3.051
0,38.897,35.468,33.302,35.609,32.202,34.205,31.89,30.232,32.757,30.232,32.757,33.015,28.018,32.249,27.295,29.411,27.295,26.833,25.554,22.472,25.08,23.854,21.471,21.954,21.954,21.401,0,19.723,19.105,20,17.804,19.209,17.205,18.439,16.971,15.556,16.401,15.811,15.811,15.264,15.62,13.601,14.765,15,13.153,14.765,14.318,12.53,14.56,10.817,12.649,11.705,13.892,-2.374,-2.436,-2.42,-2.476,-2.511,-2.481,-2.423,-2.544,-2.596,-2.544,-2.596,-2.528,-2.534,-2.622,-2.645,-2.525,-2.645,-2.678,-2.608,-2.578,-2.731,-2.565,-2.657,-2.617,-2.617,-2.489,0,-2.61,-2.393,-2.498,-2.476,-2.467,-2.521,-2.433,-2.356,-2.356,-2.226,-2.176,-2.176,-2.122,-2.266,-2.2,-2.065,-2.214,-1.723,-2.065,-2.003,-2.07,-1.849,-2.159,-1.893,-1.92,-2.099
0,35.847,30.414,32.65,28.844,31.953,31.78,33.838,28.018,32.45,28.425,29.206,33.838,30,27.203,25.495,28.425,24.207,23.601,23.324,22.023,23.345,24.083,21.401,21.401,21.633,19.723,0,18.868,18.788,15.652,17.493,16.643,17.464,16.155,13.928,13.928,13.416,12.166,14.318,14.56,14.142,11.705,12.042,11.18,11.045,11,13.153,11.705,12,10.198,11,10.05,9.849,-0.401,-0.478,-0.477,-0.588,-0.351,-0.421,-0.596,-0.608,-0.588,-0.686,-0.664,-0.596,-0.644,-0.629,-0.73,-0.686,-0.668,-0.635,-0.54,-0.689,-0.755,-0.727,-0.653,-0.653,-0.588,-0.532,0,-0.559,-0.44,-0.464,-0.54,-0.571,-0.412,-0.381,-0.367,-0.367,-0.464,-0.165,-0.211,-0.278,-0.142,-0.349,0.083,-0.18,0.091,0,-0.153,-0.349,0,0.197,0,0.1,0.418
0,30.463,30.463,31.321,31.048,25.71,29.833,28.16,28.636,28.16,23.537,26.571,26.476,24.515,23.345,25.318,25.71,24.515,20.1,19.235,18.682,20.1,19.647,18.248,19.235,20.1,18.248,0,18.248,16.155,15.297,14.318,13.416,15.652,15.232,11.705,12.53,15,12.806,13.454,12.207,10,11.402,12.042,12.728,9.434,12.806,11.662,10.63,10.817,9.434,11.18,10.296,8.944,0.405,0.405,0.291,0.261,0.236,0.237,0.288,0.211,0.288,0.214,0.346,0.19,0.205,0.172,0.159,0.236,0.205,0.1,0.157,0.271,0.1,0.257,0.165,0.157,0.1,0.165,0,0.165,0.381,0.197,0.432,0.464,0.464,0.405,0.349,0.499,0.644,0.675,0.733,0.611,0.644,0.661,0.727,0.785,1.012,0.896,1.03,0.852,0.983,1.012,1.107,1.064,1.107
0,39.408,36.878,37.014,38.588,38.949,33.121,33.838,32.65,33.121,29.53,35.777,34.015,32.202,27.731,27.857,29.547,25.632,27.313,26,24.352,22.472,24.166,23.707,23.259,22.361,17.889,0,21.471,19.416,15.811,18.028,16.125,15.264,17.804,17.205,19.105,14.866,15.556,14.866,12.728,16.401,14.422,13.038,14.765,13.892,13.416,13.601,13.416,11.402,12.083,9.849,9.849,12.083,0.623,0.709,0.671,0.545,0.51,0.504,0.596,0.477,0.504,0.494,0.464,0.424,0.45,0.448,0.367,0.418,0.359,0.415,0.395,0.335,0.364,0.427,0.483,0.444,0.464,0.464,0,0.484,0.602,0.606,0.588,0.519,0.552,0.666,0.62,0.822,0.833,0.785,0.738,0.785,0.915,0.983,1.004,1.077,1.043,1.107,1.272,1.107,1.305,1.144,1.153,1.153,1.144
0,34.986,34.482,33.615,36.359,36.235,32.202,31.78,29.12,29.155,31.385,30.364,31.016,31.016,29.155,25.632,30.083,25,24.597,25.08,23.259,20.616,25.08,22.472,19.235,21.954,21.024,0,18.358,18.601,16.401,20,14.866,16.643,14.422,14.142,13.454,14.422,13.454,14.213,12.207,15.811,16.155,13.601,14.318,11.402,10.05,12.369,12.083,13,12.649,10,11.045,9.055,0.54,0.516,0.53,0.55,0.488,0.45,0.421,0.278,0.387,0.392,0.301,0.363,0.363,0.387,0.359,0.374,0.284,0.464,0.41,0.444,0.399,0.41,0.364,0.487,0.525,0.442,0,0.512,0.633,0.656,0.644,0.738,0.571,0.588,0.785,0.838,0.983,0.733,0.885,0.96,0.965,1.19,1.272,1.138,1.305,1.471,1.326,1.144,1.176,1.249,1.571,1.48,1.46
0,33.615,33.838,33.015,35.228,34.482,32.016,32.65,26.907,28.284,26.907,28.32,26.907,29,27.586,25.456,26.627,24.759,21.932,23.345,20.518,21.932,20.518,18.385,18.439,19.209,17.692,0,17.029,14.422,16.125,15.62,16.279,17,16.401,11.402,14.765,13.601,15.297,14.318,13.928,13.342,12.369,14.036,13.038,12,12.166,11.18,12.369,10.198,10.05,13.038,11,10.198,1.041,0.975,0.958,0.967,1.055,0.896,0.872,0.838,0.785,0.838,0.835,0.838,0.81,0.811,0.785,0.972,0.757,0.818,0.755,0.751,0.818,0.751,0.785,0.862,0.896,0.825,0,0.869,0.983,1.052,0.876,0.829,1.081,0.915,0.91,1.077,1.272,1.373,1.36,1.204,1.344,1.326,1.499,1.494,1.571,1.406,1.391,1.326,1.373,1.471,1.494,1.571,1.768
0,32.249,33.121,33.541,33.615,33.526,30.083,30.364,30.676,31.623,28.792,32.696,29.732,26.833,29.069,26.926,27.857,23.409,23.77,24.042,23.77,22.136,22.136,22.847,21.024,15.652,18.385,0,17.889,18.788,16.125,18.601,15.652,15,13.601,13.601,12.042,10.63,14.866,13.454,12.53,11.662,13.038,12.53,12.53,12.53,11.662,10.296,11.402,10.296,10.296,10.05,9.22,8.544,-1.052,-1.067,-1.107,-1.174,-1.268,-1.196,-1.27,-1.239,-1.249,-1.216,-1.162,-1.228,-1.107,-1.107,-1.19,-1.204,-1.222,-1.182,-1.275,-1.316,-1.249,-1.249,-1.166,-1.128,-1.107,-1.18,0,-1.107,-1.131,-1.052,-0.938,-1.107,-0.927,-0.942,-0.942,-0.844,-0.719,-0.833,-0.733,-0.499,-0.54,-0.567,-0.499,-0.499,-0.499,-0.54,-0.507,-0.661,-0.507,-0.507,-0.1,-0.219,-0.359
